,整车费率,,,,,,,,,,,,,,,
,费率由运输部（MOT）审定。所报费率不得以捆绑中标为条件。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,目的地,,,,,,,,,,,,,,,
,SHDR DC1（主配送中心）：上海临港新城普洛斯临港物流园洋浩路575号，中国上海市浦东新区,,,,,,,,,,,,,,,
,TDSC 配送中心：上海市奉贤区航塘公路3088号C栋3楼迪士尼商店仓库，开瑞益上海配送中心C3，上海市奉贤区航塘公路3088号,,,,,,,,,,,,,,,
,币种：人民币,不含增值税,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,SHDR DC1/TDSC DC,,,,,,,SHDR DC1/TDSC DC,,,,
,出发省份,出发城市,车型,温度类型,运输天数（不含提货日）,费率（人民币）不含增值税,出发省份,出发城市,车型,温度类型,,运输天数（不含提货日）,费率（人民币）不含增值税,,附加费说明,每次附加费（人民币）
,广东,东莞,8T,干货,3,5280,Guangdong,Dongguan,8T,DRY,GuangdongDongguan8TDRY,,,,,
,广东,东莞,DG_3T,危险品,,,Guangdong,Dongguan,DG_3T,HAZMAT,GuangdongDongguanDG_3THAZMAT,,,,,
,广东,东莞,DG_8T,危险品,,,Guangdong,Dongguan,DG_8T,HAZMAT,GuangdongDongguanDG_8THAZMAT,,,,,
,广东,东莞,REF_3T,冷藏,,,Guangdong,Dongguan,REF_3T,REEFER,GuangdongDongguanREF_3TREEFER,,,,,
,广东,东莞,40尺高柜,干货 - 自备箱,3,8200,Guangdong,Dongguan,40'HQ,DRY - SOC,GuangdongDongguan40'HQDRY - SOC,,,,,
,广东,佛山,3T,干货,3,3600,Guangdong,Foshan,3T,DRY,GuangdongFoshan3TDRY,,,,,
,广东,佛山,5T,干货,3,4440,Guangdong,Foshan,5T,DRY,GuangdongFoshan5TDRY,,,,,
,广东,佛山,REF_3T,冷藏,,,Guangdong,Foshan,REF_3T,REEFER,GuangdongFoshanREF_3TREEFER,,,,,
,广东,佛山,REF_5T,冷藏,,,Guangdong,Foshan,REF_5T,REEFER,GuangdongFoshanREF_5TREEFER,,,,,
,广东,河源,10T,干货,3,4860,Guangdong,Heyuan,10T,DRY,GuangdongHeyuan10TDRY,,,,,
