,,
,装载能力,
,干货与危险品卡车,
,设备类型,实际装载能力
,3T,12
,5T,23
,8T,32
,10T,40
,12T,45
,15T,55
,25T,90
,26T,110
,30T,145
,20尺集装箱,28
,40尺集装箱,58
,40尺高柜集装箱,68
