(不含提货日)",價格,比對結果,I-L欄,(I-L)/I,AR,,Accessorial Description,Accessorial Charge per Occurrence (RMB),,利潤,"AR
(RMB）",預計貨量,預計營收,預計成本,,,,,,,,
GuangxiQinzhou45'HQDRY - SOC,Guangxi,Qinzhou,广西,钦州,45'HQ,DRY - SOC,,9700,DRY - SOC（自备柜）,华南 - 许建生,9045,4,7760,9045,,9045,4,9045,蔡焱南,655,0.06752577319587628,9700,,,,,0,9700,,,,,,,,,,,
HebeiHejian15TDRY,Hebei,Hejian,河北,河间,15T,DRY,1,7200,,京津-張學煜,6065,2,5760,6065,,6065,2,6065,蔡焱南,1135,0.15763888888888888,7200,,,,,0,7200,2,14400,14400,,,,,,,,
HebeiHejian40'HQDRY - SOC,Hebei,Hejian,河北,河间,40'HQ,DRY - SOC,1,9000,,京津-張學煜,7390,2,7200,7390,,7390,2,7390,蔡焱南,1610,0.17888888888888888,9000,,,,,0,9000,1,9000,9000,,,,,,,,
HunanChenzhou10TDRY,Hunan,Chenzhou,湖南,郴州,10T,DRY,,5000,,华中-王莲花,4200,3,4200,4200,,4410,3,4200,蔡焱南,800,0.16,5000,,,,,0,5000,,,,,,,,,,,
HunanChenzhou12TDRY,Hunan,Chenzhou,湖南,郴州,12T,DRY,,5300,,华中-王莲花,4410,3,4240,4410,,4410,3,4410,蔡焱南,890,0.16792452830188678,5300,,,,,0,5300,,,,,,,,,,,
HunanChenzhou15TDRY,Hunan,Chenzhou,湖南,郴州,15T,DRY,,5700,,华中-王莲花,4745,3,4560,4745,,4745,3,4745,蔡焱南,955,0.1675438596491228,5700,,,,,0,5700,13,74100,74100,,,,,,,,
HunanChenzhou26TDRY,Hunan,Chenzhou,湖南,郴州,26T,DRY,,7200,,华中-王莲花,5880,3,5880,5880,,6615,3,5880,蔡焱南,1320,0.18333333333333332,7200,,,,,0,7200,,,,,,,,,,,
HunanChenzhou8TDRY,Hunan,Chenzhou,湖南,郴州,8T,DRY,,4700,,华中-王莲花,3425,3,3290,3425,,3425,3,3425,蔡焱南,1275,0.2712765957446808,4700,,,,,0,4700,,,,,,,,,,,
HunanChenzhou40'HQDRY - SOC,Hunan,Chenzhou,湖南,郴州,40'HQ,DRY - SOC,,8250,,华中-王莲花,6180,3,6180,6180,,6180,3,6180,蔡焱南,2070,0.2509090909090909,8250,,,,,0,8250,1,8250,8250,,,,,,,,
HunanZixing12TDRY,Hunan,Zixing,湖南,资兴,12T,DRY,,5400,,华中-王莲花,4410,3,4320,4410,,4410,3,4410,蔡焱南,990,0.18333333333333332,5400,,,,,0,5400,,,,,,,,,,,
HunanZixing8TDRY,Hunan,Zixing,湖南,资兴,8T,DRY,,4600,,华中-王莲花,3425,3,3450,3425,,3425,3,3425,蔡焱南,1175,0.2554347826086957,4600,,,,,0,4600,,,,,,,,,,,
JiangsuChangzhou3TDRY,Jiangsu,Changzhou,江苏,常州,3T,DRY,1,900,,华东-孙理想,787.5,1,787.5,787.5,,845,1,787.5,蔡焱南,112.5,0.125,900,,,,,0,900,1,900,900,,,,,,,,
JiangsuLianyungang10TDRY,Jiangsu,Lianyungang,江苏,连云港,10T,DRY,1,3150,,华东-孙理想,2625,1,1545,2625,,1545,1,1545,王峰,525,0.16666666666666666,3150,,,,,0,3150,,,,,,,,,,,
JiangsuLianyungang25TDRY,Jiangsu,Lianyungang,江苏,连云港,25T,DRY,1,4350,,华东-孙理想,3885,1,2175,3885,,2205,1,2205,王峰,465,0.10689655172413794,4350,,,,,0,4350,,,,,,,,,,,
JiangsuLianyungang5TDRY,Jiangsu,Lianyungang,江苏,连云港,5T,DRY,1,2850,,华东-孙理想,1995,1,1995,1995,1220,1220,1,1220,王峰,855,0.3,2850,,,,,0,2850,,,,,,,,,,,
JiangsuLianyungang8TDRY,Jiangsu,Lianyungang,江苏,连云港,8T,DRY,1,3000,,华东-孙理想,2310,1,2310,2310,1330,1330,1,1330,王峰,690,0.23,3000,,,,,0,3000,,,,,,,,,,,
JiangsuSuqian10TDRY,Jiangsu,Suqian,江苏,宿迁,10T,DRY,1,3150,,华东-孙理想,2875,1,2520,2875,,2875,1,2875,蔡焱南,275,0.0873015873015873,3150,,,,,0,3150,,,,,,,,,,,
JiangsuSuqian8TDRY,Jiangsu,Suqian,江苏,宿迁,8T,DRY,1,3000,,华东-孙理想,2540,1,2400,2540,,2540,1,2540,蔡焱南,460,0.15333333333333332,3000,,,,,0,3000,,,,,,,,,,,
JiangsuSuzhou10TDRY,Jiangsu,Suzhou,江苏,苏州,10T,DRY,1,950,,华东-孙理想,1105,1,950,1105,,1105,1,950,蔡焱南,-155,-0.1631578947368421,1007,,,,,0.06000000000000005,1007,,,,,,,,,,,
JiangsuSuzhou12TDRY,Jiangsu,Suzhou,江苏,苏州,12T,DRY,1,1000,,华东-孙理想,1330,1,1000,1330,,1330,1,1000,蔡焱南,-330,-0.33,1060,,,,,0.06000000000000005,1060,,,,,,,,,,,
JiangsuSuzhou15TDRY,Jiangsu,Suzhou,江苏,苏州,15T,DRY,1,1050,,华东-孙理想,1440,1,1050,1440,,1440,1,1050,蔡焱南,-390,-0.37142857142857144,1113,,,,,0.06000000000000005,1113,,,,,,,,,,,
JiangsuSuzhou25TDRY,Jiangsu,Suzhou,江苏,苏州,25T,DRY,1,1350,,华东-孙理想,1770,1,1350,1770,,1770,1,1350,蔡焱南,-420,-0.3111111111111111,1431,,,,,0.06000000000000005,1431,150,214650,202500,,,,,,,,
JiangsuSuzhou26TDRY,Jiangsu,Suzhou,江苏,苏州,26T,DRY,1,1450,,华东-孙理想,1470,1,1470,1470,,1990,1,1450,總部產品,-20,-0.013793103448275862,1479,,,,,0.020000000000000018,1479,,,,,,,,,,,
JiangsuSuzhou3TDRY,Jiangsu,Suzhou,江苏,苏州,3T,DRY,1,550,,华东-孙理想,610,1,550,610,,610,1,550, 蔡焱南 ,-60,-0.10909090909090909,583,,,,,0.06000000000000005,583,,,,,,,,,,,
JiangsuSuzhou5TDRY,Jiangsu,Suzhou,江苏,苏州,5T,DRY,1,850,,华东-孙理想,720,1,680,720,,720,1,720,蔡焱南,130,0.15294117647058825,850,,,,,0,850,,,,,,,,,,,
JiangsuSuzhou8TDRY,Jiangsu,Suzhou,江苏,苏州,8T,DRY,1,900,,华东-孙理想,735,1,735,735,,885,1,735,蔡焱南,165,0.18333333333333332,900,,,,,0,900,,,,,,,,,,,
JiangsuSuzhou40'HQDRY - SOC,Jiangsu,Suzhou,江苏,苏州,40'HQ,DRY - SOC,1,1450,,华东-孙理想,1470,1,1470,1470,,1770,1,1450,總部產品,-20,-0.013793103448275862,1479,,,,,0.020000000000000018,1479,,,,,,,,,,,
JiangsuYangzhou12TDRY,Jiangsu,Yangzhou,江苏,扬州,12T,DRY,1,2150,,华东-孙理想,2205,1,2150,2205,,2205,1,2150, 蔡焱南 ,-55,-0.02558139534883721,2193,,,,,0.020000000000000018,2193,,,,,,,,,,,
JiangsuYangzhou5TDRY,Jiangsu,Yangzhou,江苏,扬州,5T,DRY,1,1850,,华东-孙理想,1880,1,1850,1880,,1880,1,1850, 蔡焱南 ,-30,-0.016216216216216217,1887,,,,,0.020000000000000018,1887,,,,,,,,,,,
JiangsuYangzhou8TDRY,Jiangsu,Yangzhou,江苏,扬州,8T,DRY,1,1950,,华东-孙理想,1990,1,1950,1990,,1990,1,1950, 蔡焱南 ,-40,-0.020512820512820513,1989,,,,,0.020000000000000018,1989,,,,,,,,,,,
JiangxiGanzhou10TDRY,Jiangxi,Ganzhou,江西,赣州,10T,DRY,,3950,,华中-王莲花,3570,2,3570,3570,,3750,2,3570,蔡焱南,380,0.09620253164556962,3950,,,,,0,3950,,,,,,,,,,,
JiangxiGanzhou12TDRY,Jiangxi,Ganzhou,江西,赣州,12T,DRY,,4200,,华中-王莲花,3675,2,3675,3675,,3860,2,3675,蔡焱南,525,0.125,4200,,,,,0,4200,,,,,,,,,,,
JiangxiGanzhou15TDRY,Jiangxi,Ganzhou,江西,赣州,15T,DRY,,4400,,华中-王莲花,4095,2,4095,4095,,4305,2,4095,蔡焱南,305,0.06931818181818182,4400,,,,,0,4400,14,61600,61600,,,,,,,,
JiangxiGanzhou25TDRY,Jiangxi,Ganzhou,江西,赣州,25T,DRY,,6750,,华中-王莲花,5295,2,5062.5,5295,,5295,2,5295,蔡焱南,1455,0.21555555555555556,6750,,,,,0,6750,,,,,,,,,,,
JiangxiGanzhou26TDRY,Jiangxi,Ganzhou,江西,赣州,26T,DRY,,7000,,华中-王莲花,5515,2,5250,5515,,5515,2,5515,蔡焱南,1485,0.21214285714285713,7000,,,,,0,7000,,,,,,,,,,,
JiangxiGanzhou3TDRY,Jiangxi,Ganzhou,江西,赣州,3T,DRY,,3100,,华中-王莲花,2430,2,2325,2430,,2430,2,2430,蔡焱南,670,0.2161290322580645,3100,,,,,0,3100,,,,,,,,,,,
JiangxiGanzhou8TDRY,Jiangxi,Ganzhou,江西,赣州,8T,DRY,,3500,,华中-王莲花,3750,2,3000,3750,,3750,2,3500,總部產品,-250,-0.07142857142857142,3710,,,,,0.06000000000000005,3710,,,,,,,,,,,
JiangxiGanzhou40'HQDRY - SOC,Jiangxi,Ganzhou,江西,赣州,40'HQ,DRY - SOC,,7200,,华中-王莲花,5295,2,5040,5295,,5295,2,5295,蔡焱南,1905,0.26458333333333334,7200,,,,,0,7200,3,21600,21600,,,,,,,,
JiangxiNanchangREF_12TREEFER,Jiangxi,Nanchang,江西,南昌,REF_12T,REEFER,,,,华中-王莲花,,2,0,0,,4085,2,4085,王峰,,,,,,,,,,,,,,,,,,,,
ShandongQingdao10TDRY,Shandong,Qingdao,山东,青岛,10T,DRY,1,3900,,京津-張學煜,3150,2,3150,3150,,3535,2,3150,蔡焱南,750,0.19230769230769232,3900,,,,,0,3900,,,,,,,,,,,
ShandongQingdao12TDRY,Shandong,Qingdao,山东,青岛,12T,DRY,1,4300,,京津-張學煜,3675,2,3675,3675,,3975,2,3675,蔡焱南,625,0.14534883720930233,4300,,,,,0,4300,,,,,,,,,,,
ShandongQingdao3TDRY,Shandong,Qingdao,山东,青岛,3T,DRY,1,2100,,京津-張學煜,2100,2,2100,2100,,2100,2,2100, 蔡焱南 ,0,,2100,,,,,0,2100,,,,,,,,,,,
ShandongQingdao5TDRY,Shandong,Qingdao,山东,青岛,5T,DRY,1,3000,,京津-張學煜,2625,2,2625,2625,,2980,2,2625,蔡焱南,375,0.125,3000,,,,,0,3000,,,,,,,,,,,
ShandongQingdao8TDRY,Shandong,Qingdao,山东,青岛,8T,DRY,1,3400,,京津-張學煜,3045,2,3045,3045,,3310,2,3045,蔡焱南,355,0.10441176470588236,3400,,,,,0,3400,,,,,,,,,,,
ShandongTai'An3TDRY,Shandong,Tai'An,山东,泰安,3T,DRY,1,2300,,京津-張學煜,1995,2,1995,1995,,2100,2,1995,蔡焱南,305,0.13260869565217392,2300,,,,,0,2300,2,4600,4600,,,,,,,,
ShandongTai'An5TDRY,Shandong,Tai'An,山东,泰安,5T,DRY,1,3200,,京津-張學煜,3200,2,2208,3200,,3200,2,3200,總部產品,0,,3200,,,,,0,3200,,,,,,,,,,,
ShandongWeihai3TDRY,Shandong,Weihai,山东,威海,3T,DRY,1,2700,,京津-張學煜,2205,2,2205,2205,,2320,2,2205,蔡焱南,495,0.18333333333333332,2700,,,,,0,2700,1,2700,2700,,,,,,,,
ShandongYantai3TDRY,Shandong,Yantai,山东,烟台,3T,DRY,1,2600,,京津-張學煜,2205,2,2205,2205,,2320,2,2205,蔡焱南,395,0.1519230769230769,2600,,,,,0,2600,1,2600,2600,,,,,,,,
ShanghaiShanghai10TDRY,Shanghai,Shanghai,上海,上海,10T,DRY,1,550,,华东-孙理想,720,1,550,720,,720,1,550, 蔡焱南 ,-170,-0.3090909090909091,583,,,,,0.06000000000000005,583,,,,,,,,,,,
ShanghaiShanghai3TDRY,Shanghai,Shanghai,上海,上海,3T,DRY,1,300,,华东-孙理想,335,1,300,335,,335,1,300, 蔡焱南 ,-35,-0.11666666666666667,318,,,,,0.06000000000000005,318,,,,,,,,,,,
ShanghaiShanghai5TDRY,Shanghai,Shanghai,上海,上海,5T,DRY,1,450,,华东-孙理想,335,1,337.5,335,,335,1,335, 蔡焱南 ,115,0.25555555555555554,450,,,,,0,450,,,,,,,,,,,
ShanghaiShanghai8TDRY,Shanghai,Shanghai,上海,上海,8T,DRY,1,500,,华东-孙理想,445,1,400,445,,445,1,445,蔡焱南,55,0.11,500,,,,,0,500,8,4000,4000,,,,,,,,
ShanghaiShanghaiREF_3TREEFER,Shanghai,Shanghai,上海,上海,REF_3T,REEFER,1,,,华东-孙理想,,1,0,0,,365,1,365,王峰,,,,,,,,,,,,,,,,,,,,
ShanghaiShanghaiREF_5TREEFER,Shanghai,Shanghai,上海,上海,REF_5T,REEFER,1,,,华东-孙理想,,1,0,0,,610,1,610,王峰,,,,,,,,,,,,,,,,,,,,
ShanghaiShanghai40'GPDRY - SOC,Shanghai,Shanghai,上海,上海,40'GP,DRY - SOC,1,1000,,华东-孙理想,1105,1,1000,1105,,1105,1,1000, 蔡焱南 ,-105,-0.105,1060,,,,,0.06000000000000005,1060,,,,,,,,,,,
ShanghaiShanghai40'HQDRY - SOC,Shanghai,Shanghai,上海,上海,40'HQ,DRY - SOC,1,1000,,华东-孙理想,1220,1,1000,1220,,1220,1,1000, 蔡焱南 ,-220,-0.22,1060,,,,,0.06000000000000005,1060,,,,,,,,,,,
ShanghaiShanghai25TDRY,Shanghai,Shanghai,上海,上海,25T,DRY,1,1000,,华东-孙理想,1105,1,1000,1105,,1105,1,1000, 蔡焱南 ,-105,-0.105,1060,,,,,0.06000000000000005,1060,,,,,,,,,,,
ShanxiAnkang10TDRY,Shanxi,Ankang,山西,安康,10T,DRY,2,6600,,华东-孙理想,6065,3,5280,6065,,6065,3,6065, 蔡焱南 ,535,0.08106060606060606,6600,,,,,0,6600,,,,,,,,,,,
ShanxiAnkang15TDRY,Shanxi,Ankang,山西,安康,15T,DRY,2,7200,,华东-孙理想,7390,3,7200,7390,,7390,3,7200, 蔡焱南 ,-190,-0.02638888888888889,7344,,,,,0.020000000000000018,7344,5,36720,36000,,,,,,,,
ShanxiAnkang25TDRY,Shanxi,Ankang,山西,安康,25T,DRY,2,11000,,华东-孙理想,9925,3,8800,9925,,9925,3,9925,蔡焱南,1075,0.09772727272727273,11000,,,,,0,11000,,,,,,,,,,,
ShanxiAnkang26TDRY,Shanxi,Ankang,山西,安康,26T,DRY,2,12000,,华东-孙理想,10040,3,9600,10040,,10040,3,10040,蔡焱南,1960,0.16333333333333333,12000,,,,,0,12000,,,,,,,,,,,
ShanxiAnkang3TDRY,Shanxi,Ankang,山西,安康,3T,DRY,2,4500,,华东-孙理想,3310,3,3150,3310,,3310,3,3310,蔡焱南,1190,0.2644444444444444,4500,,,,,0,4500,,,,,,,,,,,
ShanxiAnkang5TDRY,Shanxi,Ankang,山西,安康,5T,DRY,2,6000,,华东-孙理想,5955,3,4800,5955,,5955,3,5955,蔡焱南,45,0.0075,6120,,,,,0.020000000000000018,6120,,,,,,,,,,,
ShanxiAnkang8TDRY,Shanxi,Ankang,山西,安康,8T,DRY,2,6300,,华东-孙理想,5955,3,5040,5955,,5955,3,5955,蔡焱南,345,0.05476190476190476,6426,,,,,0.020000000000000018,6426,,,,,,,,,,,
ShanxiAnkang20'GPDRY - SOC,Shanxi,Ankang,山西,安康,20'GP,DRY - SOC,2,6300,,华东-孙理想,6065,3,5040,6065,,6065,3,6065,蔡焱南,235,0.0373015873015873,6426,,,,,0.020000000000000018,6426,,,,,,,,,,,
ShanxiAnkang40'HQDRY - SOC,Shanxi,Ankang,山西,安康,40'HQ,DRY - SOC,2,10500,,华东-孙理想,9450,3,9450,9450,,10040,3,9450,蔡焱南,1050,0.1,10500,,,,,0,10500,22,231000,231000,,,,,,,,
ZhejiangHuzhou25TDRY,Zhejiang,Huzhou,浙江,湖州,25T,DRY,1,1650,,华东-孙理想,1680,1,1680,1680,,1880,1,1650,總部產品,-30,-0.01818181818181818,1683,,,,,0.020000000000000018,1683,,,,,,,,,,,
ZhejiangHuzhou26TDRY,Zhejiang,Huzhou,浙江,湖州,26T,DRY,1,1850,,华东-孙理想,1990,1,1850,1990,,1990,1,1850, 蔡焱南 ,-140,-0.07567567567567568,1961,,,,,0.06000000000000005,1961,,,,,,,,,,,
ZhejiangHuzhou3TDRY,Zhejiang,Huzhou,浙江,湖州,3T,DRY,1,770,,华东-孙理想,630,1,630,630,,720,1,630,蔡焱南,140,0.18181818181818182,770,,,,,0,770,,,,,,,,,,,
ZhejiangHuzhou5TDRY,Zhejiang,Huzhou,浙江,湖州,5T,DRY,1,1200,,华东-孙理想,1105,1,960,1105,,1105,1,1105,蔡焱南,95,0.07916666666666666,1200,,,,,0,1200,,,,,,,,,,,
ZhejiangHuzhou8TDRY,Zhejiang,Huzhou,浙江,湖州,8T,DRY,1,1250,,华东-孙理想,1155,1,1155,1155,,1220,1,1155,蔡焱南,95,0.076,1250,,,,,0,1250,,,,,,,,,,,
ZhejiangHuzhou40'HQDRY - SOC,Zhejiang,Huzhou,浙江,湖州,40'HQ,DRY - SOC,1,1950,,华东-孙理想,1785,1,1785,1785,,1880,1,1785,蔡焱南,165,0.08461538461538462,1950,,,,,0,1950,,,,,,,,,,,
ZhejiangNingbo12TDRY,Zhejiang,Ningbo,浙江,宁波,12T,DRY,1,1650,,华东-孙理想,1330,1,1320,1330,,1330,1,1330,蔡焱南,320,0.19393939393939394,1650,,,,,0,1650,,,,,,,,,,,
ZhejiangNingbo3TDRY,Zhejiang,Ningbo,浙江,宁波,3T,DRY,1,850,,华东-孙理想,390,1,382.5,390,,390,1,390,蔡焱南,460,0.5411764705882353,850,,,,,0,850,,,,,,,,,,,
ZhejiangNingbo5TDRY,Zhejiang,Ningbo,浙江,宁波,5T,DRY,1,1350,,华东-孙理想,670,1,670,670,,670,1,670,蔡焱南,680,0.5037037037037037,1350,,,,,0,1350,8,10800,10800,,,,,,,,
ZhejiangPinghu25TDRY,Zhejiang,Pinghu,浙江,平湖,25T,DRY,1,1250,,华东-孙理想,1260,1,1260,1260,,1330,1,1250,總部產品,-10,-0.008,1275,,,,,0.020000000000000018,1275,,,,,,,,,,,
ZhejiangPinghu3TDRY,Zhejiang,Pinghu,浙江,平湖,3T,DRY,1,500,,华东-孙理想,390,1,375,390,,390,1,390,蔡焱南,110,0.22,500,,,,,0,500,,,,,,,,,,,
ZhejiangPinghu5TDRY,Zhejiang,Pinghu,浙江,平湖,5T,DRY,1,750,,华东-孙理想,555,1,555,555,,555,1,555,蔡焱南,195,0.26,750,,,,,0,750,12,9000,9000,,,,,,,,
ZhejiangPinghu8TDRY,Zhejiang,Pinghu,浙江,平湖,8T,DRY,1,800,,华东-孙理想,670,1,640,670,,670,1,670,蔡焱南,130,0.1625,800,,,,,0,800,,,,,,,,,,,
AnhuiChaohu20'GPDRY - SOC,Anhui,Chaohu,安徽,巢湖,20'GP,DRY - SOC,1,2550,,华东-孙理想,2430,1,2040,2430,,2430,1,2430,蔡焱南,120,0.047058823529411764,2601,,,,,0.020000000000000018,2601,,,,,,,,,,,
AnhuiTianchang20'GPDRY - SOC,Anhui,Tianchang,安徽,天长,20'GP,DRY - SOC,1,2350,,华东-孙理想,1990,1,1880,1990,,1990,1,1990,蔡焱南,360,0.15319148936170213,2350,,,,,0,2350,,,,,,,,,,,
ShanxiAnkang12TDRY,Shanxi,Ankang,山西,安康,12T,DRY,2,6900,,华东-孙理想,5985,3,5985,5985,,6290,3,5985,蔡焱南,915,0.13260869565217392,6900,,,,,0,6900,,,,,,,,,,,
JiangsuChangzhou5TDRY,Jiangsu,Changzhou,江苏,常州,5T,DRY,1,1450,,华东-孙理想,1330,1,1160,1330,,1330,1,1330,蔡焱南,120,0.08275862068965517,1450,,,,,0,1450,,,,,,,,,,,
JiangsuChangzhou8TDRY,Jiangsu,Changzhou,江苏,常州,8T,DRY,1,1500,,华东-孙理想,1260,1,1260,1260,,1440,1,1260,蔡焱南,240,0.16,1500,,,,,0,1500,,,,,,,,,,,
JiangsuChangzhou10TDRY,Jiangsu,Changzhou,江苏,常州,10T,DRY,1,1550,,华东-孙理想,1333.5,1,1333.5,1333.5,,1545,1,1333.5,蔡焱南,216.5,0.1396774193548387,1550,,,,,0,1550,,,,,,,,,,,
JiangsuChangzhou12TDRY,Jiangsu,Changzhou,江苏,常州,12T,DRY,1,1650,,华东-孙理想,1655,1,1650,1655,,1655,1,1650,  蔡焱南  ,-5,-0.0030303030303030303,1683,,,,,0.020000000000000018,1683,,,,,,,,,,,
JiangsuChangzhou15TDRY,Jiangsu,Changzhou,江苏,常州,15T,DRY,1,1750,,华东-孙理想,1770,1,1750,1770,,1770,1,1750,  蔡焱南  ,-20,-0.011428571428571429,1785,,,,,0.020000000000000018,1785,,,,,,,,,,,
JiangsuChangzhou25TDRY,Jiangsu,Changzhou,江苏,常州,25T,DRY,1,1850,,华东-孙理想,2205,1,1850,2205,,2205,1,1850,  蔡焱南  ,-355,-0.1918918918918919,1961,,,,,0.06000000000000005,1961,,,,,,,,,,,
JiangsuChangzhou26TDRY,Jiangsu,Changzhou,江苏,常州,26T,DRY,1,1950,,华东-孙理想,2047.5,1,2047.5,2047.5,1950,2320,1,1950,總部產品,-97.5,-0.05,1989,,,,,0.020000000000000018,1989,,,,,,,,,,,
JiangsuChangzhou20'GPDRY - SOC,Jiangsu,Changzhou,江苏,常州,20'GP,DRY - SOC,1,1500,,华东-孙理想,1260,1,1260,1260,,1545,1,1260,蔡焱南,240,0.16,1500,,,,,0,1500,,,,,,,,,,,
JiangsuChangzhou40'HQDRY - SOC,Jiangsu,Changzhou,江苏,常州,40'HQ,DRY - SOC,1,2400,,华东-孙理想,2047.5,1,2047.5,2047.5,,2205,1,2047.5,蔡焱南,352.5,0.146875,2400,,,,,0,2400,,,,,,,,,,,
AnhuiChaohu25TDRY,Anhui,Chaohu,安徽,巢湖,25T,DRY,1,3950,,华东-孙理想,3860,1,3160,3860,,3860,1,3860,蔡焱南,90,0.02278481012658228,4029,,,,,0.020000000000000018,4029,,,,,,,,,,,
HunanChenzhou20'GPDRY - SOC,Hunan,Chenzhou,湖南,郴州,20'GP,DRY - SOC,,7200,,华中-王莲花,4410,3,4320,4410,,4410,3,4410,蔡焱南,2790,0.3875,7200,,,,,0,7200,,,,,,,,,,,
HunanChenzhou3TDRY,Hunan,Chenzhou,湖南,郴州,3T,DRY,,3300,,华中-王莲花,2760,3,2640,2760,,2760,3,2760,蔡焱南,540,0.16363636363636364,3300,,,,,0,3300,,,,,,,,,,,
HunanChenzhou5TDRY,Hunan,Chenzhou,湖南,郴州,5T,DRY,,3520,,华中-王莲花,3150,3,3150,3150,,3310,3,3150,蔡焱南,370,0.10511363636363637,3520,,,,,0,3520,,,,,,,,,,,
HunanChenzhou25TDRY,Hunan,Chenzhou,湖南,郴州,25T,DRY,,7150,,华中-王莲花,5880,3,5880,5880,,6180,3,5880,蔡焱南,1270,0.17762237762237762,7150,,,,,0,7150,,,,,,,,,,,
GuangdongDongguan20'GPDRY - SOC,Guangdong,Dongguan,广东,东莞,20'GP,DRY - SOC,,5100,DRY - SOC（8T车代替）,华南 - 许建生,4965,3,4080,4965,,4965,3,4965,蔡焱南,135,0.026470588235294117,5202,,,,,0.020000000000000018,5202,,,,,,,,,,,
GuangdongFoshan8TDRY,Guangdong,Foshan,广东,佛山,8T,DRY,,4900,,华南 - 许建生,4085,3,3920,4085,,4085,3,4085,蔡焱南,815,0.1663265306122449,4900,,,,,0,4900,,,,,,,,,,,
GuangdongFoshan10TDRY,Guangdong,Foshan,广东,佛山,10T,DRY,,5300,,华南 - 许建生,4965,3,4240,4965,,4965,3,4965,蔡焱南,335,0.06320754716981132,5406,,,,,0.020000000000000018,5406,,,,,,,,,,,
GuangdongFoshan12TDRY,Guangdong,Foshan,广东,佛山,12T,DRY,,5400,,华南 - 许建生,5080,3,4320,5080,,5080,3,5080,蔡焱南,320,0.05925925925925926,5508,,,,,0.020000000000000018,5508,,,,,,,,,,,
GuangdongFoshan15TDRY,Guangdong,Foshan,广东,佛山,15T,DRY,,5500,,华南 - 许建生,5295,3,4400,5295,,5295,3,5295,蔡焱南,205,0.03727272727272727,5610,,,,,0.020000000000000018,5610,,,,,,,,,,,
GuangdongFoshan25TDRY,Guangdong,Foshan,广东,佛山,25T,DRY,,7700,,华南 - 许建生,6615,3,6160,6615,,6615,3,6615,蔡焱南,1085,0.1409090909090909,7700,,,,,0,7700,,,,,,,,,,,
GuangdongFoshan26TDRY,Guangdong,Foshan,广东,佛山,26T,DRY,,7800,,华南 - 许建生,6615,3,6240,6615,,6615,3,6615,蔡焱南,1185,0.1519230769230769,7800,,,,,0,7800,,,,,,,,,,,
GuangdongFoshan20'GPDRY - SOC,Guangdong,Foshan,广东,佛山,20'GP,DRY - SOC,,4900,DRY - SOC（8T车代替）,华南 - 许建生,4965,3,3920,4965,,4965,3,4900,總部產品,-65,-0.013265306122448979,4998,,,,,0.020000000000000018,4998,,,,,,,,,,,
GuangdongFoshan40'HQDRY - SOC,Guangdong,Foshan,广东,佛山,40'HQ,DRY - SOC,,6600,DRY - SOC（自备柜）,华南 - 许建生,6615,3,6600,6615,,6615,3,6600,總部產品,-15,-0.0022727272727272726,6732,,,,,0.020000000000000018,6732,,,,,,,,,,,
JiangxiGanzhou20'GPDRY - SOC,Jiangxi,Ganzhou,江西,赣州,20'GP,DRY - SOC,,6750,,华中-王莲花,3750,2,3375,3750,,3750,2,3750,蔡焱南,3000,0.4444444444444444,6750,,,,,0,6750,,,,,,,,,,,
JiangxiGanzhou5TDRY,Jiangxi,Ganzhou,江西,赣州,5T,DRY,,3500,,华中-王莲花,2835,2,2835,2835,,3090,2,2835,蔡焱南,665,0.19,3500,,,,,0,3500,,,,,,,,,,,
GuangxiHechi3TDRY,Guangxi,Hechi,广西,河池,3T,DRY,,5000,,华南 - 许建生,3975,4,3750,3975,,3975,4,3975,蔡焱南,1025,0.205,5000,,,,,0,5000,,,,,,,,,,,
GuangxiHechi8TDRY,Guangxi,Hechi,广西,河池,8T,DRY,,7100,,华南 - 许建生,5295,4,5295,5295,,5295,4,5295,蔡焱南,1805,0.25422535211267605,7100,,,,,0,7100,2,14200,14200,,,,,,,,
GuangxiHechi10TDRY,Guangxi,Hechi,广西,河池,10T,DRY,,7300,,华南 - 许建生,5955,4,5840,5955,,5955,4,5955,蔡焱南,1345,0.18424657534246575,7300,,,,,0,7300,,,,,,,,,,,
GuangxiHechi12TDRY,Guangxi,Hechi,广西,河池,12T,DRY,,7400,,华南 - 许建生,6180,4,5920,6180,,6180,4,6180,蔡焱南,1220,0.16486486486486487,7400,,,,,0,7400,,,,,,,,,,,
GuangxiHechi15TDRY,Guangxi,Hechi,广西,河池,15T,DRY,,7500,,华南 - 许建生,7060,4,6000,7060,,7060,4,7060,蔡焱南,440,0.058666666666666666,7650,,,,,0.020000000000000018,7650,,,,,,,,,,,
GuangxiHechi25TDRY,Guangxi,Hechi,广西,河池,25T,DRY,,10000,,华南 - 许建生,8820,4,8000,8820,,8820,4,8820,蔡焱南,1180,0.118,10000,,,,,0,10000,,,,,,,,,,,
GuangxiHechi20'GPDRY - SOC,Guangxi,Hechi,广西,河池,20'GP,DRY - SOC,,7100,DRY - SOC（8T车代替）,华南 - 许建生,5955,4,5325,5955,,5955,4,5955,蔡焱南,1145,0.16126760563380282,7100,,,,,0,7100,,,,,,,,,,,
