(不含提货日)",價格,比對結果,I-L欄,(I-L)/I,AR,,Accessorial Description,Accessorial Charge per Occurrence (RMB),,利潤,"AR
(RMB）",預計貨量,預計營收,預計成本,,,,,,,,
AnhuiXuancheng26TDRY,Anhui,Xuancheng,安徽,宣城,26T,DRY,1,3050,,华东-孙理想,3200,1,3050,3200,,3200,1,3050,蔡焱南,-150,-0.04918032786885246,3111,,,,,0.020000000000000018,3111,,,,,,,,,,,
AnhuiXuancheng3TDRY,Anhui,Xuancheng,安徽,宣城,3T,DRY,1,1150,,华东-孙理想,1105,1,920,1105,,1105,1,1105,蔡焱南,45,0.0391304347826087,1173,,,,,0.020000000000000018,1173,,,,,,,,,,,
AnhuiXuancheng5TDRY,Anhui,Xuancheng,安徽,宣城,5T,DRY,1,1850,,华东-孙理想,1655,1,1480,1655,,1655,1,1655,蔡焱南,195,0.10540540540540541,1850,,,,,0,1850,,,,,,,,,,,
AnhuiXuancheng8TDRY,Anhui,Xuancheng,安徽,宣城,8T,DRY,1,1950,,华东-孙理想,1655,1,1560,1655,,1655,1,1655,蔡焱南,295,0.15128205128205127,1950,,,,,0,1950,,,,,,,,,,,
FujianQuanzhou10TDRY,Fujian,Quanzhou,福建,泉州,10T,DRY,,4500,,华南 - 许建生,3535,2,3375,3535,,3535,2,3535,蔡焱南,965,0.21444444444444444,4500,,,,,0,4500,,,,,,,,,,,
FujianQuanzhou15TDRY,Fujian,Quanzhou,福建,泉州,15T,DRY,,4700,,华南 - 许建生,3860,2,3760,3860,,3860,2,3860,蔡焱南,840,0.17872340425531916,4700,,,,,0,4700,,,,,,,,,,,
FujianQuanzhou25TDRY,Fujian,Quanzhou,福建,泉州,25T,DRY,,6800,,华南 - 许建生,5080,2,5080,5080,,5080,2,5080,蔡焱南,1720,0.2529411764705882,6800,,,,,0,6800,35,238000,238000,,,,,,,,
FujianQuanzhou26TDRY,Fujian,Quanzhou,福建,泉州,26T,DRY,,6900,,华南 - 许建生,5295,2,5175,5295,,5295,2,5295,蔡焱南,1605,0.2326086956521739,6900,,,,,0,6900,,,,,,,,,,,
FujianQuanzhou5TDRY,Fujian,Quanzhou,福建,泉州,5T,DRY,,3900,,华南 - 许建生,2980,2,2925,2980,,2980,2,2980,蔡焱南,920,0.2358974358974359,3900,,,,,0,3900,,,,,,,,,,,
FujianQuanzhou8TDRY,Fujian,Quanzhou,福建,泉州,8T,DRY,,4000,,华南 - 许建生,3535,2,3200,3535,,3535,2,3535,蔡焱南,465,0.11625,4000,,,,,0,4000,,,,,,,,,,,
FujianQuanzhou40'HQDRY - SOC,Fujian,Quanzhou,福建,泉州,40'HQ,DRY - SOC,,6250,DRY - SOC（自备柜）,华南 - 许建生,5080,2,5000,5080,,5080,2,5080,蔡焱南,1170,0.1872,6250,,,,,0,6250,5,31250,31250,,,,,,,,
FujianShishi3TDRY,Fujian,Shishi,福建,石狮,3T,DRY,,2950,,华南 - 许建生,2205,2,2205,2205,,2205,2,2205,蔡焱南,745,0.25254237288135595,2950,,,,,0,2950,,,,,,,,,,,
FujianShishi5TDRY,Fujian,Shishi,福建,石狮,5T,DRY,,3900,,华南 - 许建生,2875,2,2875,2875,,2875,2,2875,蔡焱南,1025,0.26282051282051283,3900,,,,,0,3900,4,15600,15600,,,,,,,,
FujianShishi8TDRY,Fujian,Shishi,福建,石狮,8T,DRY,,4000,,华南 - 许建生,2980,2,2980,2980,,2980,2,2980,蔡焱南,1020,0.255,4000,,,,,0,4000,,,,,,,,,,,
GuangdongDongguan10TDRY,Guangdong,Dongguan,广东,东莞,10T,DRY,,5300,,华南 - 许建生,4965,3,4240,4965,,4965,3,4965,蔡焱南,335,0.06320754716981132,5406,,,,,0.020000000000000018,5406,,,,,,,,,,,
