起运省,起运市,起运区县,目的省,目的市,目的区县,货物名称,运掌柜车长,运掌柜平台车型,状态,错误,基地,本地原始车型,查询起运区县,查询目的区县,查询目的区县来源,查询级别,市场价低,市场价高,市场参考价,距离km,可见样本数
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,天长市,浦东新区,输入区县,区县级,850,1050,990,332,20
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,天长市,奉贤区,输入区县,区县级,950,1050,990,351,20
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,天长市,浦东新区,输入区县,区县级,1175,1450,1400,332,20
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,天长市,奉贤区,输入区县,区县级,1170,1500,1430,351,20
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,天长市,浦东新区,输入区县,区县级,1500,1900,1760,332,20
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,天长市,奉贤区,输入区县,区县级,1530,1950,1760,351,20
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,天长市,浦东新区,输入区县,区县级,2400,3300,2970,354,20
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,天长市,奉贤区,输入区县,区县级,2300,3300,2750,352,20
安徽省,宣城市,宣州区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,宣州区,浦东新区,输入区县,区县级,2600,3200,3080,301,6
安徽省,宣城市,宣州区,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,宣州区,奉贤区,输入区县,区县级,2600,3200,2970,300,6
安徽省,宣城市,宣州区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,宣州区,浦东新区,输入区县,区县级,850,1000,990,286,20
安徽省,宣城市,宣州区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,宣州区,奉贤区,输入区县,区县级,800,1000,880,296,20
安徽省,宣城市,宣州区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,宣州区,浦东新区,输入区县,区县级,950,1200,1170,286,20
安徽省,宣城市,宣州区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,宣州区,奉贤区,输入区县,区县级,900,1200,1100,296,20
安徽省,宣城市,宣州区,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,宣州区,浦东新区,输入区县,区县级,1300,1700,1530,286,20
安徽省,宣城市,宣州区,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,宣州区,奉贤区,输入区县,区县级,1200,1580,1430,296,20
福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,晋江市,浦东新区,输入区县,区县级,2100,3130,2620,973,20
福建省,泉州市,晋江市,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,晋江市,奉贤区,输入区县,区县级,2100,2650,2530,937,20
福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,晋江市,浦东新区,输入区县,区县级,2900,3700,3240,973,20
福建省,泉州市,晋江市,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,晋江市,奉贤区,输入区县,区县级,2900,3500,3190,937,20
福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,晋江市,浦东新区,输入区县,区县级,4800,5300,4950,973,20
福建省,泉州市,晋江市,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,晋江市,奉贤区,输入区县,区县级,4650,5300,4950,937,20
福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,晋江市,浦东新区,输入区县,区县级,4700,6000,5500,973,20
福建省,泉州市,晋江市,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,晋江市,奉贤区,输入区县,区县级,4700,6000,5500,937,20
福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,晋江市,浦东新区,输入区县,区县级,1900,2600,2360,952,20
福建省,泉州市,晋江市,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,晋江市,奉贤区,输入区县,区县级,1800,2400,2170,914,20
福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,晋江市,浦东新区,输入区县,区县级,2200,2800,2520,952,20
福建省,泉州市,晋江市,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,晋江市,奉贤区,输入区县,区县级,,,,914,0
福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,晋江市,浦东新区,输入区县,区县级,,,,973,0
福建省,泉州市,晋江市,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,晋江市,奉贤区,输入区县,区县级,4500,5000,4590,937,10
福建省,泉州市,石狮市,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,石狮市,浦东新区,输入区县,区县级,1800,2200,1980,962,20
福建省,泉州市,石狮市,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,石狮市,奉贤区,输入区县,区县级,1800,2200,1980,952,20
福建省,泉州市,石狮市,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,石狮市,浦东新区,输入区县,区县级,1900,2600,2360,962,20
福建省,泉州市,石狮市,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,石狮市,奉贤区,输入区县,区县级,1970,2700,2400,952,20
福建省,泉州市,石狮市,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,石狮市,浦东新区,输入区县,区县级,2200,3100,2610,962,20
福建省,泉州市,石狮市,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,石狮市,奉贤区,输入区县,区县级,2200,2800,2520,952,20
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,长安镇,浦东新区,输入区县,区县级,2900,4000,3510,1436,20
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,长安镇,奉贤区,输入区县,区县级,2900,4000,3520,1412,20
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,长安镇,浦东新区,输入区县,区县级,3800,4500,4070,1436,20
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,长安镇,奉贤区,输入区县,区县级,3600,4200,3960,1412,20
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,长安镇,浦东新区,输入区县,区县级,4000,4500,4320,1436,20
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,长安镇,奉贤区,输入区县,区县级,4000,4500,4150,1412,20
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,长安镇,浦东新区,输入区县,区县级,5300,6300,5940,1436,20
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,长安镇,奉贤区,输入区县,区县级,5100,6300,5670,1412,20
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,长安镇,浦东新区,输入区县,区县级,6000,6800,6480,1436,20
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,长安镇,奉贤区,输入区县,区县级,6000,6500,6300,1412,20
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,长安镇,浦东新区,输入区县,区县级,2600,3000,2860,1425,20
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,长安镇,奉贤区,输入区县,区县级,,,,1402,0
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,长安镇,浦东新区,输入区县,区县级,2700,3600,3160,1425,20
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,长安镇,奉贤区,输入区县,区县级,2700,3600,3060,1402,20
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,长安镇,浦东新区,输入区县,区县级,2900,4000,3520,1425,20
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,长安镇,奉贤区,输入区县,区县级,2700,3800,3300,1402,20
广东省,东莞市,长安镇,上海市,上海市,浦东新区,冷藏货物,4.2,冷藏,成功,,,,长安镇,浦东新区,输入区县,区县级,2400,3400,2970,1425,10
广东省,东莞市,长安镇,上海市,上海市,奉贤区,冷藏货物,4.2,冷藏,成功,,,,长安镇,奉贤区,输入区县,区县级,2200,3000,2750,1402,11
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,长安镇,浦东新区,输入区县,区县级,4800,7000,5940,1436,18
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,长安镇,奉贤区,输入区县,区县级,4800,6300,5490,1412,13
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,顺德区,浦东新区,输入区县,区县级,,,,1505,0
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,顺德区,奉贤区,输入区县,区县级,2270,3000,2750,1456,20
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,顺德区,浦东新区,输入区县,区县级,2700,3600,3300,1505,20
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,顺德区,奉贤区,输入区县,区县级,2700,3600,3190,1456,20
广东省,佛山市,顺德区,上海市,上海市,浦东新区,冷藏货物,4.2,冷藏,成功,,,,顺德区,浦东新区,输入区县,区县级,2500,3280,2970,1505,8
广东省,佛山市,顺德区,上海市,上海市,奉贤区,冷藏货物,4.2,冷藏,成功,,,,顺德区,奉贤区,输入区县,区县级,2500,3280,2840,1456,8
广东省,佛山市,顺德区,上海市,上海市,浦东新区,冷藏货物,5,冷藏,成功,,,,顺德区,浦东新区,输入区县,区县级,2900,3600,3510,1505,20
广东省,佛山市,顺德区,上海市,上海市,奉贤区,冷藏货物,5,冷藏,成功,,,,顺德区,奉贤区,输入区县,区县级,2600,3500,3240,1456,20
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,东源县,浦东新区,输入区县,区县级,2500,3200,2970,1257,12
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,东源县,奉贤区,输入区县,区县级,2500,3200,2970,1233,12
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,东源县,浦东新区,输入区县,区县级,,,5950,1257,0
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,东源县,奉贤区,输入区县,区县级,,,5940,1233,0
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,东源县,浦东新区,输入区县,区县级,,,2520,1253,0
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,东源县,奉贤区,输入区县,区县级,,,2520,1230,0
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,惠阳区,浦东新区,输入区县,区县级,3450,4300,4050,1374,20
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,惠阳区,奉贤区,输入区县,区县级,3450,4300,3850,1350,20
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,惠阳区,浦东新区,输入区县,区县级,3800,4500,4140,1374,20
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,惠阳区,奉贤区,输入区县,区县级,3500,4300,3960,1350,20
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,惠阳区,浦东新区,输入区县,区县级,5000,7300,6120,1374,20
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,惠阳区,奉贤区,输入区县,区县级,5000,7000,5940,1350,20
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,惠阳区,浦东新区,输入区县,区县级,2300,3200,2750,1371,20
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,惠阳区,奉贤区,输入区县,区县级,2300,3100,2610,1348,19
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,惠阳区,浦东新区,输入区县,区县级,2500,3500,3080,1371,20
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,惠阳区,奉贤区,输入区县,区县级,2400,3500,2970,1348,20
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,惠阳区,浦东新区,输入区县,区县级,2600,3600,3240,1371,20
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,惠阳区,奉贤区,输入区县,区县级,2600,3600,3240,1348,20
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,惠阳区,浦东新区,输入区县,区县级,,,5500,1374,0
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,惠阳区,奉贤区,输入区县,区县级,,,5400,1350,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,新会区,浦东新区,输入区县,区县级,2600,3500,2970,1538,4
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,新会区,奉贤区,输入区县,区县级,2600,3500,2970,1515,4
广东省,汕头市,澄海区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,澄海区,浦东新区,输入区县,区县级,2500,3500,2970,1218,19
广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,澄海区,奉贤区,输入区县,区县级,2500,3500,2970,1194,19
广东省,汕头市,澄海区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,澄海区,浦东新区,输入区县,区县级,2200,2650,2520,1215,5
广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,澄海区,奉贤区,输入区县,区县级,1900,2650,2360,1192,13
广东省,汕头市,澄海区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,澄海区,浦东新区,输入区县,区县级,2500,3500,2970,1215,14
广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,澄海区,奉贤区,输入区县,区县级,2500,3500,2970,1192,14
广东省,汕头市,澄海区,上海市,上海市,浦东新区,冷藏货物,4.2,冷藏,成功,,,,澄海区,浦东新区,输入区县,区县级,,,,1215,0
广东省,汕头市,澄海区,上海市,上海市,奉贤区,冷藏货物,4.2,冷藏,成功,,,,澄海区,奉贤区,输入区县,区县级,,,,1192,0
广东省,汕头市,澄海区,上海市,上海市,浦东新区,冷藏货物,5,冷藏,成功,,,,澄海区,浦东新区,输入区县,区县级,,,,1215,0
广东省,汕头市,澄海区,上海市,上海市,奉贤区,冷藏货物,5,冷藏,成功,,,,澄海区,奉贤区,输入区县,区县级,,,,1192,0
广东省,汕头市,澄海区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,澄海区,浦东新区,输入区县,区县级,,,,1218,0
广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,澄海区,奉贤区,输入区县,区县级,,,,1194,0
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,宝安区,浦东新区,输入区县,区县级,,,,1442,0
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,宝安区,浦东新区,输入区县,区县级,,,,1442,0
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,宝安区,浦东新区,输入区县,区县级,,,,1442,0
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,宝安区,浦东新区,输入区县,区县级,,,,1442,0
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,宝安区,浦东新区,输入区县,区县级,,,,1442,0
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,宝安区,浦东新区,输入区县,区县级,,,,1441,0
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,宝安区,浦东新区,输入区县,区县级,,,,1441,0
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,宝安区,浦东新区,输入区县,区县级,,,,1441,0
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,宝安区,浦东新区,输入区县,区县级,,,,1442,0
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
广东省,肇庆市,高要区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,高要区,浦东新区,输入区县,区县级,,,,1516,0
广东省,肇庆市,高要区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,高要区,奉贤区,输入区县,区县级,,,,1493,0
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,小榄镇,浦东新区,输入区县,区县级,,,,1506,0
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,小榄镇,奉贤区,输入区县,区县级,,,,1482,0
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,小榄镇,浦东新区,输入区县,区县级,,,,1506,0
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,小榄镇,奉贤区,输入区县,区县级,,,,1482,0
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,小榄镇,浦东新区,输入区县,区县级,,,,1506,0
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,小榄镇,奉贤区,输入区县,区县级,,,,1482,0
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,小榄镇,浦东新区,输入区县,区县级,,,,1506,0
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,小榄镇,奉贤区,输入区县,区县级,,,,1482,0
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,小榄镇,浦东新区,输入区县,区县级,,,,1503,0
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,小榄镇,奉贤区,输入区县,区县级,,,,1480,0
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,小榄镇,浦东新区,输入区县,区县级,,,,1506,0
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,小榄镇,奉贤区,输入区县,区县级,,,,1482,0
广东省,珠海市,金湾区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,金湾区,浦东新区,输入区县,区县级,,,,1548,0
广东省,珠海市,金湾区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,金湾区,奉贤区,输入区县,区县级,,,,1525,0
广东省,珠海市,金湾区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,金湾区,浦东新区,输入区县,区县级,,,,1558,0
广东省,珠海市,金湾区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,金湾区,奉贤区,输入区县,区县级,,,,1534,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1748,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1724,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1712,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1689,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,浦北县,浦东新区,输入区县,区县级,,,,1874,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,浦北县,奉贤区,输入区县,区县级,,,,1850,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,浦北县,浦东新区,输入区县,区县级,,,,1874,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,浦北县,奉贤区,输入区县,区县级,,,,1850,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,浦北县,浦东新区,输入区县,区县级,,,,1874,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,浦北县,奉贤区,输入区县,区县级,,,,1850,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,浦北县,浦东新区,输入区县,区县级,,,,1874,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,浦北县,奉贤区,输入区县,区县级,,,,1850,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,浦北县,浦东新区,输入区县,区县级,,,,1874,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,浦北县,奉贤区,输入区县,区县级,,,,1850,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,13.7,集装箱,成功,,,,浦北县,浦东新区,输入区县,区县级,,,,1874,0
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,13.7,集装箱,成功,,,,浦北县,奉贤区,输入区县,区县级,,,,1850,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,钦南区,浦东新区,输入区县,区县级,,,,1948,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,钦南区,奉贤区,输入区县,区县级,,,,1924,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,钦南区,浦东新区,输入区县,区县级,,,,1948,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,钦南区,奉贤区,输入区县,区县级,,,,1924,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,钦南区,浦东新区,输入区县,区县级,,,,1948,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,钦南区,奉贤区,输入区县,区县级,,,,1924,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,钦南区,浦东新区,输入区县,区县级,,,,1948,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,钦南区,奉贤区,输入区县,区县级,,,,1924,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,钦南区,浦东新区,输入区县,区县级,,,,1948,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,钦南区,奉贤区,输入区县,区县级,,,,1925,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,钦南区,浦东新区,输入区县,区县级,,,,1948,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,钦南区,奉贤区,输入区县,区县级,,,,1925,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,钦南区,浦东新区,输入区县,区县级,,,,1948,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,钦南区,奉贤区,输入区县,区县级,,,,1924,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,13.7,集装箱,成功,,,,钦南区,浦东新区,输入区县,区县级,,,,1948,0
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,13.7,集装箱,成功,,,,钦南区,奉贤区,输入区县,区县级,,,,1924,0
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1123,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1122,0
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1123,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1122,0
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,苏仙区,浦东新区,输入区县,区县级,,,,1271,0
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,苏仙区,奉贤区,输入区县,区县级,,,,1247,0
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,苏仙区,浦东新区,输入区县,区县级,,,,1271,0
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,苏仙区,奉贤区,输入区县,区县级,,,,1247,0
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,苏仙区,浦东新区,输入区县,区县级,,,,1271,0
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,苏仙区,奉贤区,输入区县,区县级,,,,1247,0
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,苏仙区,浦东新区,输入区县,区县级,,,,1271,0
