条件ID,起运省,起运市,起运区县,目的省,目的市,目的区县,货物名称,车长,平台车型,查询重量（吨）,证据目录,来源页面,明细货品,明细装货地址,明细卸货地址,匹配状态,匹配说明,表序号,行序号,表头,原始单元格
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,食品零食(纸箱),合肥市巢湖市,上海市松江区,不匹配,货品不匹配；目的区县不匹配,1,0,[],"[""满帮\n2026-08-21 上午"", ""1900/趟 4.86元/公里"", ""找车中\n发布49分钟，司机浏览444、查看58、电话0"", ""食品零食(纸箱)"", ""8-9吨 , 35-40方"", ""9.6米-厢式"", ""合肥市巢湖市"", ""上海市松江区"", ""391公里"", ""到付"", ""-""]"
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,舞台用品(航空箱),合肥市蜀山区,上海市嘉定区,不匹配,货品不匹配；起运区县不匹配；目的区县不匹配,1,1,[],"[""满帮\n2026-08-18 上午"", ""2100/趟 4.77元/公里"", ""已成交\n发布20分钟后成交"", ""舞台用品(航空箱)"", ""7-10吨"", ""9.6米-厢式"", ""合肥市蜀山区"", ""上海市嘉定区"", ""440公里"", ""-"", ""鲁DN*****6""]"
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,物流货(纸箱),合肥市肥西县,上海市松江区,不匹配,货品不匹配；起运区县不匹配；目的区县不匹配,1,2,[],"[""满帮\n2026-08-17 下午"", ""2000/趟 4.32元/公里"", ""已成交\n发布45分钟后成交"", ""物流货(纸箱)"", ""5-9吨 , 40-60方"", ""9.6米-厢式"", ""合肥市肥西县"", ""上海市松江区"", ""463公里"", ""需全程高速"", ""鲁H1*****1""]"
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,瓜子食品(纸箱),合肥市蜀山区,上海市青浦区,不匹配,货品不匹配；起运区县不匹配；目的区县不匹配,1,3,[],"[""满帮\n2026-08-17 下午"", ""1800/趟 3.99元/公里"", ""已成交\n发布20分钟后成交"", ""瓜子食品(纸箱)"", ""6-8吨 , 36-38方"", ""9.6米-厢式"", ""合肥市蜀山区"", ""上海市青浦区"", ""451公里"", ""-"", ""沪GL*****7""]"
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,衣服(纸箱),合肥市肥西县,上海市嘉定区,不匹配,货品不匹配；起运区县不匹配；目的区县不匹配,1,4,[],"[""满帮\n2026-08-15 上午"", ""2000/趟 4.34元/公里"", ""已成交\n发布1分钟后成交"", ""衣服(纸箱)"", ""6-9吨 , 50-55方"", ""9.6米-厢式"", ""合肥市肥西县"", ""上海市嘉定区"", ""461公里"", ""卸貨付，单子拍照，签字，"", ""冀A3*****T""]"
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,窗框(裸装),合肥市长丰县,上海市浦东新区,不匹配,货品不匹配；起运区县不匹配,1,5,[],"[""满帮\n2026-08-14 上午"", ""2000/趟 4.12元/公里"", ""已成交\n发布5分钟后成交"", ""窗框(裸装)"", ""7-9.5吨"", ""12.4米-厢式"", ""合肥市长丰县"", ""上海市浦东新区"", ""485公里"", ""无需司机装卸"", ""皖AN*****3""]"
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,啤酒(纸箱),合肥市长丰县,上海市松江区,不匹配,货品不匹配；起运区县不匹配；目的区县不匹配,1,6,[],"[""满帮\n2026-08-14 上午"", ""1900/趟 4.10元/公里"", ""已成交\n发布54分钟后成交"", ""啤酒(纸箱)"", ""11吨"", ""4.2米-厢式"", ""合肥市长丰县"", ""上海市松江区"", ""463公里"", ""怕雨淋需雨布，无需司机装卸"", ""鲁D7*****Y""]"
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,洗衣液洗衣粉(纸箱),合肥市蜀山区,上海市嘉定区,不匹配,货品不匹配；起运区县不匹配；目的区县不匹配,1,7,[],"[""满帮\n2026-08-11 下午"", ""1900/趟 4.31元/公里"", ""已成交\n发布5分钟后成交"", ""洗衣液洗衣粉(纸箱)"", ""10.5吨 , 32-34方"", ""6.8米-厢式"", ""合肥市蜀山区"", ""上海市嘉定区"", ""441公里"", ""无需司机装卸，无禁区，无需司机装卸，装车小费20-装货排队，需回单，收到后回单三天内付款"", ""鲁AQ*****6""]"
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,瓜子食品(纸箱),合肥市蜀山区,上海市普陀区,不匹配,货品不匹配；起运区县不匹配；目的区县不匹配,1,8,[],"[""满帮\n2026-08-08 下午"", ""2150/趟 4.45元/公里"", ""已成交\n发布5小时后成交"", ""瓜子食品(纸箱)"", ""7-9吨 , 34-38方"", ""7.7米-厢式"", ""合肥市蜀山区"", ""上海市普陀区"", ""483公里"", ""-"", ""京AJ*****6""]"
77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,,D:\DongBase\Projects\2026-08-20-迪斯尼物流项目\Disney_运掌柜FTL查询_起运区县补全_20260820\runtime\20260821-090658\evidence\77320ba9583d6d0ba5c96740044cb153159e935a9a7820da02bc395428d5c294\20260821-090743-132046,主页面,芝麻糊(纸箱),合肥市瑶海区,上海市奉贤区,不匹配,货品不匹配；起运区县不匹配；目的区县不匹配,1,9,[],"[""满帮\n2026-08-07 下午"", ""2000/趟 3.95元/公里"", ""已成交\n发布3分钟后成交"", ""芝麻糊(纸箱)"", ""6-8吨 , 26-27方"", ""9.6米-厢式"", ""合肥市瑶海区"", ""上海市奉贤区"", ""506公里"", ""-"", ""苏FJ*****9""]"
