"起运省","起运市","起运区县","目的省","目的市","目的区县","货物名称","运掌柜车长","运掌柜平台车型"
"福建省","泉州市","石狮市","上海市","上海市","奉贤区","普通货物","12.5","集装箱"
"福建省","泉州市","晋江市","上海市","上海市","浦东新区","普通货物","7.7","厢式"
"浙江省","温州市","龙湾区","上海市","上海市","浦东新区","普通货物","6.8","厢式"
"浙江省","嘉兴市","平湖市","上海市","上海市","奉贤区","普通货物","4.2","厢式"
"广东省","汕头市","澄海区","上海市","上海市","奉贤区","普通货物","6.2","集装箱"
"山东省","青岛市","黄岛区","上海市","上海市","奉贤区","普通货物","4.2","厢式"
"安徽省","宣城市","宣州区","上海市","上海市","浦东新区","普通货物","6.2","厢式"
"福建省","泉州市","晋江市","上海市","上海市","浦东新区","普通货物","5","厢式"
"广西壮族自治区","钦州市","钦南区","上海市","上海市","奉贤区","普通货物","6.2","集装箱"
"广东省","中山市","小榄镇","上海市","上海市","奉贤区","普通货物","12.5","集装箱"
