状态,错误,基地,起运省,起运市,起运区县,目的省,目的市,目的区县,本地原始车型,货物名称,车长,平台车型,运掌柜查询重量（吨）,查询区县数,有效区县数,置信度,市场参考价中位数,市场参考价最低,市场参考价最高,市场低价最低,市场高价最高,距离中位数km
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,,普通货物,6.8,厢式,,1,1,低,1980,1980,1980,1600,2300,425
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,,普通货物,7.7,厢式,,1,1,低,2360,2360,2360,1900,2500,416
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,,普通货物,7.7,厢式,,1,1,低,2310,2310,2310,1900,2600,425
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,,普通货物,8.7,厢式,,1,1,低,2520,2520,2520,2200,2700,416
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,,普通货物,8.7,厢式,,1,1,低,2520,2520,2520,2200,2800,425
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,,普通货物,16,厢式,,1,1,低,4070,4070,4070,3600,4300,416
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,,普通货物,16,厢式,,1,1,低,4070,4070,4070,3600,4300,425
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,,普通货物,4.2,厢式,,1,1,低,1100,1100,1100,928,1200,410
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,,普通货物,4.2,厢式,,1,1,低,1100,1100,1100,928,1150,413
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,,普通货物,5,厢式,,1,1,低,1530,1530,1530,1240,1600,410
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,,普通货物,5,厢式,,1,1,低,1430,1430,1430,1200,1500,413
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,,普通货物,6.2,厢式,,1,1,低,1980,1980,1980,1700,2100,410
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,,普通货物,6.2,厢式,,1,1,低,1870,1870,1870,1650,2100,413
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,,普通货物,12.5,集装箱,,1,1,低,2970,2970,2970,2660,3100,416
成功,,,安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,,普通货物,12.5,集装箱,,1,1,低,2970,2970,2970,2660,3200,425
成功,,,安徽省,滁州市,天长市,上海市,上海市,浦东新区,,普通货物,6.8,厢式,,1,1,低,1870,1870,1870,1500,2100,354
成功,,,安徽省,滁州市,天长市,上海市,上海市,奉贤区,,普通货物,6.8,厢式,,1,1,低,1760,1760,1760,1430,1950,352
成功,,,安徽省,滁州市,天长市,上海市,上海市,浦东新区,,普通货物,7.7,厢式,,1,1,低,2170,2170,2170,1800,2300,354
成功,,,安徽省,滁州市,天长市,上海市,上海市,奉贤区,,普通货物,7.7,厢式,,1,1,低,2090,2090,2090,1800,2300,352
成功,,,安徽省,滁州市,天长市,上海市,上海市,浦东新区,,普通货物,8.7,厢式,,1,1,低,2180,2180,2180,1900,2340,354
成功,,,安徽省,滁州市,天长市,上海市,上海市,奉贤区,,普通货物,8.7,厢式,,1,1,低,2180,2180,2180,1900,2550,352
成功,,,安徽省,滁州市,天长市,上海市,上海市,浦东新区,,普通货物,13,厢式,,1,1,低,3240,3240,3240,2750,3700,354
成功,,,安徽省,滁州市,天长市,上海市,上海市,奉贤区,,普通货物,13,厢式,,1,1,低,3080,3080,3080,2750,3500,352
成功,,,安徽省,滁州市,天长市,上海市,上海市,浦东新区,,普通货物,16,厢式,,1,1,低,3780,3780,3780,3100,4100,354
成功,,,安徽省,滁州市,天长市,上海市,上海市,奉贤区,,普通货物,16,厢式,,1,1,低,3510,3510,3510,3000,4000,352
成功,,,安徽省,滁州市,天长市,上海市,上海市,浦东新区,,普通货物,4.2,厢式,,1,1,低,990,990,990,850,1050,332
成功,,,安徽省,滁州市,天长市,上海市,上海市,奉贤区,,普通货物,4.2,厢式,,1,1,低,990,990,990,950,1050,351
成功,,,安徽省,滁州市,天长市,上海市,上海市,浦东新区,,普通货物,5,厢式,,1,1,低,1400,1400,1400,1175,1450,332
成功,,,安徽省,滁州市,天长市,上海市,上海市,奉贤区,,普通货物,5,厢式,,1,1,低,1430,1430,1430,1170,1500,351
成功,,,安徽省,滁州市,天长市,上海市,上海市,浦东新区,,普通货物,6.2,厢式,,1,1,低,1760,1760,1760,1500,1900,332
成功,,,安徽省,滁州市,天长市,上海市,上海市,奉贤区,,普通货物,6.2,厢式,,1,1,低,1760,1760,1760,1530,1950,351
成功,,,安徽省,滁州市,天长市,上海市,上海市,浦东新区,,普通货物,12.5,集装箱,,1,1,低,2970,2970,2970,2400,3300,354
