,FULL TRUCK RATES,,,,,,,,,
,Rates to be awarded by MOT. Rates submitted must not be contingent upon bundled award.,,,,,,,,,
,,,,,,,,,,
,Destinations,,,,,,,,,
,"SHDR DC1(Main DC):上海临港新城普洛斯临港物流园洋浩路575号 No.575 Yanghao Road, Pudong New District, Shanghai, China",,,,,,,,,
,"TDSC DC:上海市奉贤区航塘公路3088号C栋3楼DISNEY STORE WAREHOUSE,KERRYEAS SHANGHAI DISTRIBUTION CENTER C3,3088 HANGTANG HIGHWAY,FENGXIAN DISTRICT, SHANGHAI",,,,,,,,,
,Currency :RMB,Exclude VAT ,,,,,,,,
,,,,,,,,,,
,,,,,SHDR DC1/TDSC DC,,,,,
,From Province, From City ,Lorry Size, Temperature ,Transit Days (excluding pick up day),Rate (RMB) Excluding VAT,,,Accessorial Description,Accessorial Charge per Occurrence (RMB)
,Guangxi,Hechi,5T,DRY,,,,,,
,Guangxi,Pubei,10T,DRY,,,,,,
,Guangxi,Pubei,12T,DRY,,,,,,
,Guangxi,Pubei,15T,DRY,,,,,,
,Guangxi,Pubei,26T,DRY,,,,,,
,Guangxi,Pubei,40'HQ,DRY - SOC,,,,,,
,Guangxi,Pubei,45'HQ,DRY - SOC,,,,,,
,Guangxi,Qinzhou,10T,DRY,,,,,,
,Guangxi,Qinzhou,12T,DRY,,,,,,
,Guangxi,Qinzhou,15T,DRY,,,,,,
,Guangxi,Qinzhou,26T,DRY,,,,,,
,Guangxi,Qinzhou,5T,DRY,,,,,,
,Guangxi,Qinzhou,8T,DRY,,,,,,
,Guangxi,Qinzhou,40'HQ,DRY - SOC,,,,,,
,Guangxi,Qinzhou,45'HQ,DRY - SOC,,,,,,
,Hebei,Hejian,15T,DRY,,,,,,
,Hebei,Hejian,40'HQ,DRY - SOC,,,,,,
,Hunan,Chenzhou,10T,DRY,,,,,,
,Hunan,Chenzhou,12T,DRY,,,,,,
,Hunan,Chenzhou,15T,DRY,,,,,,
,Hunan,Chenzhou,26T,DRY,,,,,,
,Hunan,Chenzhou,8T,DRY,,,,,,
,Hunan,Chenzhou,40'HQ,DRY - SOC,,,,,,
,Hunan,Zixing,12T,DRY,,,,,,
,Hunan,Zixing,8T,DRY,,,,,,
,Jiangsu,Changzhou,3T,DRY,,,,,,
,Jiangsu,Lianyungang,10T,DRY,,,,,,
,Jiangsu,Lianyungang,25T,DRY,,,,,,
,Jiangsu,Lianyungang,5T,DRY,,,,,,
,Jiangsu,Lianyungang,8T,DRY,,,,,,
,Jiangsu,Suqian,10T,DRY,,,,,,
,Jiangsu,Suqian,8T,DRY,,,,,,
,Jiangsu,Suzhou,10T,DRY,,,,,,
,Jiangsu,Suzhou,12T,DRY,,,,,,
,Jiangsu,Suzhou,15T,DRY,,,,,,
,Jiangsu,Suzhou,25T,DRY,,,,,,
,Jiangsu,Suzhou,26T,DRY,,,,,,
,Jiangsu,Suzhou,3T,DRY,,,,,,
,Jiangsu,Suzhou,5T,DRY,,,,,,
,Jiangsu,Suzhou,8T,DRY,,,,,,
,Jiangsu,Suzhou,40'HQ,DRY - SOC,,,,,,
,Jiangsu,Yangzhou,12T,DRY,,,,,,
,Jiangsu,Yangzhou,5T,DRY,,,,,,
,Jiangsu,Yangzhou,8T,DRY,,,,,,
,Jiangxi,Ganzhou,10T,DRY,,,,,,
,Jiangxi,Ganzhou,12T,DRY,,,,,,
,Jiangxi,Ganzhou,15T,DRY,,,,,,
,Jiangxi,Ganzhou,25T,DRY,,,,,,
,Jiangxi,Ganzhou,26T,DRY,,,,,,
,Jiangxi,Ganzhou,3T,DRY,,,,,,
,Jiangxi,Ganzhou,8T,DRY,,,,,,
,Jiangxi,Ganzhou,40'HQ,DRY - SOC,,,,,,
,Jiangxi,Nanchang,REF_12T,REEFER,,,,,,
,Shandong,Qingdao,10T,DRY,,,,,,
,Shandong,Qingdao,12T,DRY,,,,,,
,Shandong,Qingdao,3T,DRY,,,,,,
,Shandong,Qingdao,5T,DRY,,,,,,
,Shandong,Qingdao,8T,DRY,,,,,,
,Shandong,Tai'An,3T,DRY,,,,,,
,Shandong,Tai'An,5T,DRY,,,,,,
,Shandong,Weihai,3T,DRY,,,,,,
,Shandong,Yantai,3T,DRY,,,,,,
,Shanghai,Shanghai,10T,DRY,,,,,,
,Shanghai,Shanghai,3T,DRY,,,,,,
,Shanghai,Shanghai,5T,DRY,,,,,,
,Shanghai,Shanghai,8T,DRY,,,,,,
,Shanghai,Shanghai,REF_3T,REEFER,,,,,,
,Shanghai,Shanghai,REF_5T,REEFER,,,,,,
,Shanghai,Shanghai,40'GP,DRY - SOC,,,,,,
,Shanghai,Shanghai,40'HQ,DRY - SOC,,,,,,
,Shanghai,Shanghai,25T,DRY,,,,,,
,Shanxi,Ankang,10T,DRY,,,,,,
,Shanxi,Ankang,15T,DRY,,,,,,
,Shanxi,Ankang,25T,DRY,,,,,,
,Shanxi,Ankang,26T,DRY,,,,,,
,Shanxi,Ankang,3T,DRY,,,,,,
,Shanxi,Ankang,5T,DRY,,,,,,
,Shanxi,Ankang,8T,DRY,,,,,,
,Shanxi,Ankang,20'GP,DRY - SOC,,,,,,
,Shanxi,Ankang,40'HQ,DRY - SOC,,,,,,
,Zhejiang,Huzhou,25T,DRY,,,,,,
,Zhejiang,Huzhou,26T,DRY,,,,,,
,Zhejiang,Huzhou,3T,DRY,,,,,,
,Zhejiang,Huzhou,5T,DRY,,,,,,
,Zhejiang,Huzhou,8T,DRY,,,,,,
,Zhejiang,Huzhou,40'HQ,DRY - SOC,,,,,,
,Zhejiang,Ningbo,12T,DRY,,,,,,
,Zhejiang,Ningbo,3T,DRY,,,,,,
,Zhejiang,Ningbo,5T,DRY,,,,,,
,Zhejiang,Pinghu,25T,DRY,,,,,,
,Zhejiang,Pinghu,3T,DRY,,,,,,
,Zhejiang,Pinghu,5T,DRY,,,,,,
,Zhejiang,Pinghu,8T,DRY,,,,,,
,Anhui,Chaohu,20'GP,DRY - SOC,,,,,,
,Anhui,Tianchang,20'GP,DRY - SOC,,,,,,
,Shanxi,Ankang,12T,DRY,,,,,,
,Jiangsu,Changzhou,5T,DRY,,,,,,
,Jiangsu,Changzhou,8T,DRY,,,,,,
,Jiangsu,Changzhou,10T,DRY,,,,,,
,Jiangsu,Changzhou,12T,DRY,,,,,,
,Jiangsu,Changzhou,15T,DRY,,,,,,
,Jiangsu,Changzhou,25T,DRY,,,,,,
,Jiangsu,Changzhou,26T,DRY,,,,,,
,Jiangsu,Changzhou,20'GP,DRY - SOC,,,,,,
,Jiangsu,Changzhou,40'HQ,DRY - SOC,,,,,,
,Anhui,Chaohu,25T,DRY,,,,,,
,Hunan,Chenzhou,20'GP,DRY - SOC,,,,,,
,Hunan,Chenzhou,3T,DRY,,,,,,
,Hunan,Chenzhou,5T,DRY,,,,,,
,Hunan,Chenzhou,25T,DRY,,,,,,
